0;0;0;0;land;false;unknown;0
1;150;240;127;land;false;plains;1
2;170;252;244;land;false;plains;1
3;251;214;231;land;true;plains;1
4;215;123;214;land;true;plains;1
5;166;195;147;land;false;plains;1
6;128;191;191;land;false;plains;1
7;221;235;64;land;false;plains;1
8;127;208;224;land;true;plains;1
9;242;197;135;land;false;plains;1
10;169;239;126;land;false;plains;1
11;227;179;109;land;false;plains;1
12;209;208;94;land;false;plains;1
13;226;248;39;land;false;plains;1
14;190;98;235;land;false;plains;1
15;189;212;134;land;false;plains;1
16;245;138;226;land;false;plains;1
17;239;206;147;land;false;plains;1
18;228;165;185;land;false;plains;1
19;55;217;239;land;false;plains;1
20;171;198;235;land;false;plains;1
21;166;139;198;land;false;plains;1
22;144;179;179;land;false;plains;1
23;244;243;67;land;false;plains;1
24;182;214;169;land;false;plains;1
25;177;187;142;land;false;plains;1
26;198;223;223;land;false;plains;1
27;207;158;210;land;false;plains;1
28;234;105;242;land;false;plains;1
29;210;212;199;land;false;plains;1
30;144;198;225;land;false;plains;1
31;248;218;149;land;false;plains;1
32;238;158;230;land;false;plains;1
33;142;239;231;land;false;plains;1
34;232;117;169;land;false;plains;1
35;185;141;243;land;false;plains;1
36;191;249;251;land;false;plains;1
37;152;145;205;land;false;plains;1
38;216;204;103;land;false;plains;1
39;203;219;122;land;false;plains;1
40;233;102;243;land;false;plains;1
41;149;158;249;land;false;plains;1
42;148;220;177;land;false;plains;1
43;69;249;239;land;false;plains;1
44;183;187;234;land;false;plains;1
45;86;254;249;land;false;plains;1
46;237;243;103;land;false;plains;1
47;162;178;222;land;false;plains;1
48;119;199;213;land;false;plains;1
49;216;229;156;land;false;plains;1
50;234;54;219;land;false;plains;1
51;101;212;228;land;false;plains;1
52;77;247;194;land;false;plains;1
53;218;151;143;land;false;plains;1
54;189;166;235;land;false;plains;1
55;158;239;121;land;false;plains;1
56;167;185;194;land;false;plains;1
57;243;185;232;land;false;plains;1
58;191;111;241;land;false;plains;1
59;162;143;209;land;false;plains;1
60;235;156;221;land;false;plains;1
61;242;230;158;land;true;plains;1
62;146;192;226;land;false;plains;1
63;161;238;236;land;true;plains;1
64;251;174;95;land;false;plains;1
65;243;51;224;land;false;plains;1
66;99;215;211;land;false;plains;1
67;150;214;180;land;false;plains;1
68;248;160;109;land;false;plains;1
69;203;203;172;land;false;plains;1
70;235;194;177;land;false;plains;1
71;164;154;253;land;false;plains;1
72;233;156;217;land;false;plains;1
73;150;248;169;land;false;plains;1
74;236;144;251;land;false;plains;1
75;246;233;112;land;false;plains;1
76;178;208;173;land;false;plains;1
77;254;219;247;land;false;plains;1
78;249;229;117;land;true;plains;1
79;208;221;162;land;true;plains;1
80;111;254;201;land;false;plains;1
81;178;90;235;land;false;plains;1
82;229;246;113;land;false;plains;1
83;144;200;212;land;false;plains;1
84;52;241;230;land;false;plains;1
85;225;206;77;land;false;plains;1
86;236;189;80;land;false;plains;1
87;217;116;251;land;false;plains;1
88;210;105;230;land;false;plains;1
89;233;198;104;land;false;plains;1
90;127;206;206;land;true;plains;1
91;68;249;188;land;false;plains;1
92;220;204;240;land;false;plains;1
93;151;216;161;land;false;plains;1
94;250;137;179;land;false;plains;1
95;234;157;226;land;false;plains;1
96;188;157;246;land;false;plains;1
97;175;178;232;land;false;plains;1
98;232;126;219;land;false;plains;1
99;169;172;215;land;false;plains;1
100;118;214;184;land;false;plains;1
101;209;79;246;land;false;plains;1
102;221;204;165;land;false;plains;1
103;225;195;243;land;false;plains;1
104;150;233;121;land;false;plains;1
105;221;217;141;land;false;plains;1
106;122;224;202;land;false;plains;1
107;207;119;213;land;false;plains;1
108;228;170;116;land;false;plains;1
109;211;220;129;land;true;plains;1
110;118;248;231;land;false;plains;1
111;152;193;214;land;false;plains;1
